title,score,inq,link,star
步履不停,8.8,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,https://movie.douban.com/subject/2222996/,132161人评价
源代码,8.4,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,https://movie.douban.com/subject/3075287/,509074人评价
一次别离,8.7,只有有信仰的人才能说出事实真相。,https://movie.douban.com/subject/5964718/,164376人评价
追随,8.9,诺兰的牛逼来源于内心散发出的恐惧。,https://movie.douban.com/subject/1397546/,105196人评价
新龙门客栈,8.5,嬉笑怒骂，调风动月。,https://movie.douban.com/subject/1292287/,248670人评价
小萝莉的猴神大叔,8.5,宝莱坞的萝莉与大叔。,https://movie.douban.com/subject/26393561/,256502人评价
爱在午夜降临前,8.8,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,https://movie.douban.com/subject/10808442/,160361人评价
再次出发之纽约遇见你,8.5,爱我就给我看你的播放列表。,https://movie.douban.com/subject/6874403/,236462人评价
撞车,8.6,天使与魔鬼的冲撞。,https://movie.douban.com/subject/1388216/,214442人评价
无耻混蛋,8.5,昆汀同学越来越变态了，比北野武还杜琪峰。,https://movie.douban.com/subject/1438652/,284201人评价
功夫,8.3,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,https://movie.douban.com/subject/1291543/,434646人评价
梦之安魂曲,8.7,一场没有春天的噩梦。,https://movie.douban.com/subject/1292270/,140978人评价
城市之光,9.3,永远的小人物，伟大的卓别林。,https://movie.douban.com/subject/1293908/,62311人评价
东京物语,9.2,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,https://movie.douban.com/subject/1291568/,69383人评价
彗星来的那一夜,8.5,小成本大魅力。,https://movie.douban.com/subject/25807345/,263648人评价
绿里奇迹,8.7,天使暂时离开。,https://movie.douban.com/subject/1300374/,140162人评价
血钻,8.6,每个美丽事物背后都是滴血的现实。,https://movie.douban.com/subject/1428175/,187152人评价
2001太空漫游,8.7,现代科幻电影的开山之作，最伟大导演的最伟大影片。,https://movie.douban.com/subject/1292226/,142244人评价
奇迹男孩,8.6,世界不完美，爱会有奇迹。,https://movie.douban.com/subject/26787574/,304890人评价
聚焦,8.8,新闻人的理性求真。,https://movie.douban.com/subject/25954475/,167399人评价
这个男人来自地球,8.5,科幻真正的魅力不是视觉效果能取代的。 ,https://movie.douban.com/subject/2300586/,238604人评价
E.T. 外星人,8.5,生病的E.T.皮肤的颜色就像柿子饼。,https://movie.douban.com/subject/1294638/,204767人评价
末路狂花,8.7,没有了退路，只好飞向自由。,https://movie.douban.com/subject/1291992/,133788人评价
发条橙,8.5,我完全康复了。,https://movie.douban.com/subject/1292233/,231918人评价
变脸,8.4,当发哥的风衣、墨镜出现在了凯奇身上??,https://movie.douban.com/subject/1292659/,265811人评价
黑鹰坠落,8.6,还原真实而残酷的战争。,https://movie.douban.com/subject/1291824/,162703人评价
勇闯夺命岛,8.6,类型片的极致。 ,https://movie.douban.com/subject/1292728/,177283人评价
疯狂的麦克斯4：狂暴之路,8.6,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,https://movie.douban.com/subject/3592854/,282014人评价
黄金三镖客,9.1,最棒的西部片。,https://movie.douban.com/subject/1401118/,68701人评价
我爱你,9,你要相信，这世上真的有爱存在，不管在什么年纪 ,https://movie.douban.com/subject/5908478/,81432人评价
秒速5厘米,8.3,青春就是放弃和怀念。,https://movie.douban.com/subject/2043546/,398552人评价
国王的演讲,8.4,皇上无话儿。,https://movie.douban.com/subject/4023638/,425208人评价
非常嫌疑犯,8.6,我不信仰上帝，但我敬畏上帝。,https://movie.douban.com/subject/1292214/,157333人评价
千钧一发,8.7,一部能引人思考的科幻励志片。,https://movie.douban.com/subject/1300117/,125074人评价
遗愿清单,8.6,用剩余不多的时间，去燃烧整个生命。,https://movie.douban.com/subject/1867345/,181642人评价
卡萨布兰卡,8.6,世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。,https://movie.douban.com/subject/1296753/,156147人评价
头号玩家,8.7,写给影迷，动漫迷和游戏迷的一封情书。,https://movie.douban.com/subject/4920389/,782205人评价
新世界,8.7,要做就做得狠一点，这样才能活下去。,https://movie.douban.com/subject/10437779/,135296人评价
釜山行,8.4,揭露人性的丧尸题材力作。,https://movie.douban.com/subject/25986180/,522930人评价
驴得水,8.3,过去的如果就让它过去了，未来只会越来越糟！,https://movie.douban.com/subject/25921812/,480540人评价
美国丽人,8.5,每个人的内心都是深不可测的大海。 ,https://movie.douban.com/subject/1292062/,232069人评价
四个春天,8.9,来也匆匆去也匆匆，就这样风雨兼程。,https://movie.douban.com/subject/27191492/,81262人评价
